,serial,star_name,distance,mass,radius
295,73,2MASS J07003664+3157266 [de],40,,
296,,,,,
297,270,WISE 1051-2138,40.8,,
298,,,,,
299,293,WISE 1542+2230,41.1,,
300,,,,,
301,64,SDSS J053951.99-005902.0,41.62,61,1.01
302,,,,,
303,57,2MASS J04455387-3048204 [de],42,64,1
304,,,,,
305,262,WISE 0857+5604,42.1,,
306,,,,,
307,325,WISE 2019-1148,42.4,,
308,,,,,
309,327,WISE 2134-7137,42.7,,
310,,,,,
311,349,WISE 2359-7335,42.7,,
312,,,,,
313,86,SDSSp J083008.12+482847.4 [de],43,48,0.99
314,,,,,
315,90,2MASSI J0847287-153237 [de],43,64,1
316,,,,,
317,121,2MASS J12255432-2739466,43,,
318,,,,,
319,59,2MASS J05002100+0330501 [de],44,64,1
320,,,,,
321,154,2MASSW J1555157-095605 [de],44,71,1.03
322,,,,,
323,278,WISE 1311+0122,44.4,,
324,,,,,
325,319,WISE 1952+7240,44.4,,
326,,,,,
327,232,WISE 0513+0608,44.7,,
328,,,,,
329,336,WISE 2255-3118,44.7,,
330,,,,,
331,36,2MASS J03185403-3421292 [de],45,49,0.97
332,,,,,
333,332,WISE 2226+0440,45,,
334,,,,,
335,217,WISE 0323-6025,45.3,,
336,,,,,
337,123,2M 1237+6526,45.6,41,0.94
338,,,,,
339,221,WISE 0335+4310,45.7,,
340,,,,,
341,250,WISE 0723+3403,45.7,,
342,,,,,
343,97,2MASS J10073369-4555147,46,44,0.94
344,,,,,
345,145,2MASSW J1506544+132106 [de],46,69,1.02
346,,,,,
347,167,2MASS J18432213+4040209,46,96,1.22
348,,,,,
349,259,WISE 0819-0335,46,,
350,,,,,
351,329,WISE 2209-2734,46,,
